Star Name,Spectral Type,Stellar Radius [Solar Radius],Element Composition,Host Name,ObjectType
Kepler-830,M4 V,0.35,Hydrogen,Kepler-830,S
Kepler-831,M4 V,0.35,Hydrogen,Kepler-831,S
Kepler-832,M4 V,0.35,Hydrogen,Kepler-832,S
Kepler-833,M4 V,0.35,Hydrogen,Kepler-833,S
Kepler-834,,0.76,Hydrogen,Kepler-834,S
Kepler-835,,0.97,Hydrogen,Kepler-835,S
Kepler-836,,0.59,Hydrogen,Kepler-836,S
Kepler-837,G8,0.9,Hydrogen,Kepler-837,S
Kepler-838,G3,1.08,Hydrogen,Kepler-838,S
Kepler-839,G3,1.08,Hydrogen,Kepler-839,S
Kepler-84,,2.97,Hydrogen,Kepler-84,S
Kepler-841,,0.63,Hydrogen,Kepler-841,S
Kepler-842,K0,0.78,Hydrogen,Kepler-842,S
Kepler-843,K0,0.78,Hydrogen,Kepler-843,S
Kepler-844,G9,0.92,Hydrogen,Kepler-844,S
Kepler-845,G9,0.92,Hydrogen,Kepler-845,S
Kepler-846,G7,0.97,Hydrogen,Kepler-846,S
Kepler-847,G2,1.24,Hydrogen,Kepler-847,S
Kepler-848,G2,1.24,Hydrogen,Kepler-848,S
Kepler-849,,0.57,Hydrogen,Kepler-849,S
Kepler-85,M3,0.38,Hydrogen,Kepler-85,S
Kepler-850,M1,0.55,Hydrogen,Kepler-850,S
Kepler-851,K0,0.77,Hydrogen,Kepler-851,S
Kepler-852,G4,0.96,Hydrogen,Kepler-852,S
Kepler-853,G4,0.93,Hydrogen,Kepler-853,S
Kepler-855,G4,0.93,Hydrogen,Kepler-855,S
Kepler-856,G7,0.78,Hydrogen,Kepler-856,S
Kepler-857,G4,1.23,Hydrogen,Kepler-857,S
Kepler-858,,1.38,Hydrogen,Kepler-858,S
Kepler-859,,0.98,Hydrogen,Kepler-859,S
Kepler-860,,0.7,Hydrogen,Kepler-860,S
Kepler-861,,0.7,Hydrogen,Kepler-861,S
Kepler-862,,0.73,Hydrogen,Kepler-862,S
Kepler-996,,0.73,Hydrogen,Kepler-996,S
Kepler-997,M5 V,0.2,Hydrogen,Kepler-997,S
Kepler-998,M V,0.55,Hydrogen,Kepler-998,S
Kepler-999,M V,0.58,Hydrogen,Kepler-999,S
L 168-9,,0.54,Hydrogen,L 168-9,S
L 363-38,,0.64,Hydrogen,L 363-38,S
L 98-59,,0.56,Hydrogen,L 98-59,S
LHS 1140,,1.29,Hydrogen,LHS 1140,S
LHS 1478,,0.73,Hydrogen,LHS 1478,S
LHS 1678,,0.45,Hydrogen,LHS 1678,S
LHS 1815,,0.55,Hydrogen,LHS 1815,S
LHS 3154,,2.19,Hydrogen,LHS 3154,S
LHS 3844,,0.81,Hydrogen,LHS 3844,S
LHS 475,,0.64,Hydrogen,LHS 475,S
LP 714-47,,0.63,Hydrogen,LP 714-47,S
LP 791-18,,0.67,Hydrogen,LP 791-18,S
LP 890-9,,0.86,Hydrogen,LP 890-9,S
LSPM J2116+0234,,0.73,Hydrogen,LSPM J2116+0234,S
LTT 1445,,0.96,Hydrogen,LTT 1445 A,S
LTT 3780,,1.36,Hydrogen,LTT 3780,S
LTT 9779,,0.73,Hydrogen,LTT 9779,S
LkCa 15,,1.63,Hydrogen,LkCa 15,S
Luhman 16,,0.73,Hydrogen,Luhman 16 A,S
Lupus-TR-3,,0.84,Hydrogen,Lupus-TR-3,S
M62H,,1.67,Hydrogen,M62H,S
MASCARA-1,,0.68,Hydrogen,MASCARA-1,S
MASCARA-4,,0.49,Hydrogen,MASCARA-4,S
MOA-2007-BLG-192L,,1.6,Hydrogen,MOA-2007-BLG-192L,S
MOA-2007-BLG-400L,,0.93,Hydrogen,MOA-2007-BLG-400L,S
MOA-2008-BLG-310L,,0.43,Hydrogen,MOA-2008-BLG-310L,S
MOA-2008-BLG-379L,,0.33,Hydrogen,MOA-2008-BLG-379L,S
MOA-2009-BLG-266L,,0.33,Hydrogen,MOA-2009-BLG-266L,S
MOA-2009-BLG-319L,,0.33,Hydrogen,MOA-2009-BLG-319L,S
MOA-2009-BLG-387L,,0.33,Hydrogen,MOA-2009-BLG-387L,S
MOA-2010-BLG-073L,,1.06,Hydrogen,MOA-2010-BLG-073L,S
MOA-2010-BLG-117L,,0.98,Hydrogen,MOA-2010-BLG-117L,S
MOA-2010-BLG-328L,,1.56,Hydrogen,MOA-2010-BLG-328L,S
MOA-2010-BLG-353L,,1.56,Hydrogen,MOA-2010-BLG-353L,S
MOA-2010-BLG-477L,,0.78,Hydrogen,MOA-2010-BLG-477L,S
MOA-2011-BLG-028L,,1.27,Hydrogen,MOA-2011-BLG-028L,S
MOA-2011-BLG-262L,K3 V,0.74,Hydrogen,MOA-2011-BLG-262L,S
MOA-2011-BLG-291L,K3 V,0.74,Hydrogen,MOA-2011-BLG-291L,S
MOA-2011-BLG-293L,,0.87,Hydrogen,MOA-2011-BLG-293L,S
MOA-2011-BLG-322L,,0.87,Hydrogen,MOA-2011-BLG-322L,S
MOA-2012-BLG-006L,,0.84,Hydrogen,MOA-2012-BLG-006L,S
MOA-2012-BLG-505L,,0.63,Hydrogen,MOA-2012-BLG-505L,S
MOA-2013-BLG-220L,,0.42,Hydrogen,MOA-2013-BLG-220L,S
MOA-2013-BLG-605L,,0.42,Hydrogen,MOA-2013-BLG-605L,S
MOA-2015-BLG-337L,,0.93,Hydrogen,MOA-2015-BLG-337L,S
MOA-2016-BLG-227L,,0.93,Hydrogen,MOA-2016-BLG-227L,S
MOA-2016-BLG-319L,,0.68,Hydrogen,MOA-2016-BLG-319L,S
MOA-2016-BLG-526L,,0.76,Hydrogen,MOA-2016-BLG-526L,S
MOA-2019-BLG-008L,,1.4,Hydrogen,MOA-2019-BLG-008L,S
MOA-2020-BLG-135L,,0.26,Hydrogen,MOA-2020-BLG-135L,S
MOA-2020-BLG-208L,,0.32,Hydrogen,MOA-2020-BLG-208L,S
MOA-2022-BLG-249L,M2.5 V,0.31,Hydrogen,MOA-2022-BLG-249L,S
MOA-2022-BLG-563L,,0.62,Hydrogen,MOA-2022-BLG-563L,S
MOA-bin-1L,,0.63,Hydrogen,MOA-bin-1L,S
MOA-bin-29,,0.28,Hydrogen,MOA-bin-29,S
MWC 758,M3.0,0.4,Hydrogen,MWC 758,S
MXB 1658-298,,4.2,Hydrogen,MXB 1658-298,S
NGC 2682 Sand 1429,,1.57,Hydrogen,NGC 2682 Sand 1429,S
NGC 2682 Sand 364,G0 IV,2.63,Hydrogen,NGC 2682 Sand 364,S
NGC 2682 Sand 978,,1.46,Hydrogen,NGC 2682 Sand 978,S
NGC 2682 YBP 1194,G0 V,1.21,Hydrogen,NGC 2682 YBP 1194,S
NGC 2682 YBP 1514,G8/K0 IV,2.69,Hydrogen,NGC 2682 YBP 1514,S
NGC 2682 YBP 401,,2.37,Hydrogen,NGC 2682 YBP 401,S
NGTS-1,G4,1.52,Hydrogen,NGTS-1,S
NGTS-10,,1.78,Hydrogen,NGTS-10,S
NGTS-11,F7 V,1.36,Hydrogen,NGTS-11,S
NGTS-12,A,1.65,Hydrogen,NGTS-12,S
NGTS-13,,1.91,Hydrogen,NGTS-13,S
NGTS-14,A8 V,1.83,Hydrogen,NGTS-14 A,S
NGTS-15,F8,1.93,Hydrogen,NGTS-15,S
NGTS-16,A2 V,1.57,Hydrogen,NGTS-16,S
NGTS-17,,1.64,Hydrogen,NGTS-17,S
NGTS-18,G2 V,1,Hydrogen,NGTS-18,S
NGTS-2,F7,1.34,Hydrogen,NGTS-2,S
NGTS-20,,1.47,Hydrogen,NGTS-20,S
NGTS-21,,1.6,Hydrogen,NGTS-21,S
NGTS-23,F8,1.73,Hydrogen,NGTS-23,S
NGTS-24,F8,1.53,Hydrogen,NGTS-24,S
NGTS-25,F,1.73,Hydrogen,NGTS-25,S
NGTS-26,G2 V,1.46,Hydrogen,NGTS-26,S
NGTS-27,B9.5-A0,2.36,Hydrogen,NGTS-27,S
NGTS-3,,0.18,Hydrogen,NGTS-3 A,S
NGTS-30,,0.18,Hydrogen,NGTS-30,S
TOI-6442,,0.18,Hydrogen,NGTS-33,S
NGTS-4,,1.57,Hydrogen,NGTS-4,S
NGTS-5,,1.01,Hydrogen,NGTS-5,S
NGTS-6,,5.86,Hydrogen,NGTS-6,S
NGTS-8,,1.01,Hydrogen,NGTS-8,S
NGTS-9,,1.24,Hydrogen,NGTS-9,S
NN Ser,,0.89,Hydrogen,NN Ser,S
NSVS 14256825,,2.23,Hydrogen,NSVS 14256825,S
NY Vir,,1.26,Hydrogen,NY Vir,S
OGLE-2003-BLG-235L,,1.03,Hydrogen,OGLE-2003-BLG-235L,S
OGLE-2005-BLG-071L,,,Hydrogen,OGLE-2005-BLG-071L,S
OGLE-2005-BLG-169L,,,Hydrogen,OGLE-2005-BLG-169L,S
OGLE-2005-BLG-390L,,,Hydrogen,OGLE-2005-BLG-390L,S
OGLE-2006-BLG-109L,,,Hydrogen,OGLE-2006-BLG-109L,S
OGLE-2006-BLG-284L,,,Hydrogen,OGLE-2006-BLG-284L A,S
OGLE-2007-BLG-349L,,,Hydrogen,OGLE-2007-BLG-349L A,S
OGLE-2007-BLG-368L,,,Hydrogen,OGLE-2007-BLG-368L,S
OGLE-2008-BLG-092L,,,Hydrogen,OGLE-2008-BLG-092L,S
OGLE-2008-BLG-355L,,,Hydrogen,OGLE-2008-BLG-355L,S
OGLE-2011-BLG-0173L,,,Hydrogen,OGLE-2011-BLG-0173L,S
OGLE-2011-BLG-0251L,,,Hydrogen,OGLE-2011-BLG-0251L,S
OGLE-2011-BLG-0265L,,,Hydrogen,OGLE-2011-BLG-0265L,S
OGLE-2012-BLG-0026L,,,Hydrogen,OGLE-2012-BLG-0026L,S
OGLE-2012-BLG-0358L,,,Hydrogen,OGLE-2012-BLG-0358L,S
OGLE-2012-BLG-0406L,,,Hydrogen,OGLE-2012-BLG-0406L,S
OGLE-2012-BLG-0563L,,,Hydrogen,OGLE-2012-BLG-0563L,S
OGLE-2012-BLG-0724L,,,Hydrogen,OGLE-2012-BLG-0724L,S
OGLE-2012-BLG-0838L,,,Hydrogen,OGLE-2012-BLG-0838L,S
OGLE-2012-BLG-0950L,,,Hydrogen,OGLE-2012-BLG-0950L,S
OGLE-2013-BLG-0102L,,,Hydrogen,OGLE-2013-BLG-0102L,S
OGLE-2013-BLG-0132L,,,Hydrogen,OGLE-2013-BLG-0132L,S
OGLE-2013-BLG-0341L,,,Hydrogen,OGLE-2013-BLG-0341L B,S
OGLE-2013-BLG-0911L,,,Hydrogen,OGLE-2013-BLG-0911L,S
OGLE-2013-BLG-1721L,,,Hydrogen,OGLE-2013-BLG-1721L,S
OGLE-2013-BLG-1761L,,,Hydrogen,OGLE-2013-BLG-1761L,S
OGLE-2014-BLG-0124L,,,Hydrogen,OGLE-2014-BLG-0124L,S
OGLE-2014-BLG-0221L,,,Hydrogen,OGLE-2014-BLG-0221L,S
OGLE-2014-BLG-0319L,,,Hydrogen,OGLE-2014-BLG-0319L,S
OGLE-2014-BLG-0676L,M,,Hydrogen,OGLE-2014-BLG-0676L,S
OGLE-2014-BLG-1722L,,,Hydrogen,OGLE-2014-BLG-1722L,S
OGLE-2014-BLG-1760L,,,Hydrogen,OGLE-2014-BLG-1760L,S
OGLE-2015-BLG-0051L,,,Hydrogen,OGLE-2015-BLG-0051L,S
OGLE-2015-BLG-0954L,,,Hydrogen,OGLE-2015-BLG-0954L,S
OGLE-2015-BLG-0966L,,,Hydrogen,OGLE-2015-BLG-0966L,S
OGLE-2015-BLG-1649L,,,Hydrogen,OGLE-2015-BLG-1649L,S
OGLE-2015-BLG-1670L,,,Hydrogen,OGLE-2015-BLG-1670L,S
OGLE-2015-BLG-1771L,,,Hydrogen,OGLE-2015-BLG-1771L,S
OGLE-2016-BLG-0263L,,,Hydrogen,OGLE-2016-BLG-0263L,S
OGLE-2016-BLG-0613L,,,Hydrogen,OGLE-2016-BLG-0613L AB,S
OGLE-2016-BLG-1067L,,,Hydrogen,OGLE-2016-BLG-1067L,S
OGLE-2016-BLG-1093L,,,Hydrogen,OGLE-2016-BLG-1093L,S
OGLE-2016-BLG-1190L,,,Hydrogen,OGLE-2016-BLG-1190L,S
OGLE-2016-BLG-1195L,,,Hydrogen,OGLE-2016-BLG-1195L,S
OGLE-2016-BLG-1227L,,,Hydrogen,OGLE-2016-BLG-1227L,S
OGLE-2016-BLG-1598L,,,Hydrogen,OGLE-2016-BLG-1598L,S
OGLE-2016-BLG-1800L,,,Hydrogen,OGLE-2016-BLG-1800L,S
OGLE-2017-BLG-0173L,,,Hydrogen,OGLE-2017-BLG-0173L,S
OGLE-2017-BLG-0373L,,,Hydrogen,OGLE-2017-BLG-0373L,S
OGLE-2017-BLG-0406L,,,Hydrogen,OGLE-2017-BLG-0406L,S
OGLE-2017-BLG-0448L,,,Hydrogen,OGLE-2017-BLG-0448L,S
OGLE-2017-BLG-0482L,,,Hydrogen,OGLE-2017-BLG-0482L,S
OGLE-2017-BLG-0604L,,,Hydrogen,OGLE-2017-BLG-0604L,S
OGLE-2017-BLG-0640L,,,Hydrogen,OGLE-2017-BLG-0640L,S
OGLE-2017-BLG-1049L,,,Hydrogen,OGLE-2017-BLG-1049L,S
OGLE-2017-BLG-1099L,,,Hydrogen,OGLE-2017-BLG-1099L,S
OGLE-2017-BLG-1140L,,,Hydrogen,OGLE-2017-BLG-1140L,S
OGLE-2017-BLG-1237L,,,Hydrogen,OGLE-2017-BLG-1237L,S
OGLE-2017-BLG-1275L,,,Hydrogen,OGLE-2017-BLG-1275L,S
OGLE-2017-BLG-1375L,,,Hydrogen,OGLE-2017-BLG-1375L,S
OGLE-2017-BLG-1434L,K,,Hydrogen,OGLE-2017-BLG-1434L,S
OGLE-2017-BLG-1522L,M V,,Hydrogen,OGLE-2017-BLG-1522L,S
OGLE-2017-BLG-1691L,M V,,Hydrogen,OGLE-2017-BLG-1691L,S
OGLE-2017-BLG-1806L,,,Hydrogen,OGLE-2017-BLG-1806L,S
OGLE-2018-BLG-0298L,,,Hydrogen,OGLE-2018-BLG-0298L,S
OGLE-2018-BLG-0383L,,,Hydrogen,OGLE-2018-BLG-0383L,S
OGLE-2018-BLG-0506L,,,Hydrogen,OGLE-2018-BLG-0506L,S
OGLE-2018-BLG-0516L,,,Hydrogen,OGLE-2018-BLG-0516L,S
OGLE-2018-BLG-0532L,,,Hydrogen,OGLE-2018-BLG-0532L,S
OGLE-2018-BLG-0567L,,,Hydrogen,OGLE-2018-BLG-0567L,S
OGLE-2018-BLG-0596L,,,Hydrogen,OGLE-2018-BLG-0596L,S
OGLE-2018-BLG-0677L,,,Hydrogen,OGLE-2018-BLG-0677L,S
OGLE-2018-BLG-0740L,,,Hydrogen,OGLE-2018-BLG-0740L,S
OGLE-2018-BLG-0799L,,,Hydrogen,OGLE-2018-BLG-0799L,S
OGLE-2018-BLG-0932L,,,Hydrogen,OGLE-2018-BLG-0932L,S
OGLE-2018-BLG-0962L,,,Hydrogen,OGLE-2018-BLG-0962L,S
OGLE-2018-BLG-0977L,,,Hydrogen,OGLE-2018-BLG-0977L,S
OGLE-2018-BLG-1011L,,,Hydrogen,OGLE-2018-BLG-1011L,S
OGLE-2018-BLG-1119L,,,Hydrogen,OGLE-2018-BLG-1119L,S
OGLE-2018-BLG-1126L,,,Hydrogen,OGLE-2018-BLG-1126L,S
OGLE-2018-BLG-1185L,,,Hydrogen,OGLE-2018-BLG-1185L,S
OGLE-2018-BLG-1212L,,,Hydrogen,OGLE-2018-BLG-1212L,S
OGLE-2018-BLG-1269L,,,Hydrogen,OGLE-2018-BLG-1269L,S
OGLE-2018-BLG-1367L,,,Hydrogen,OGLE-2018-BLG-1367L,S
OGLE-2018-BLG-1428L,,,Hydrogen,OGLE-2018-BLG-1428L,S
OGLE-2018-BLG-1647L,,,Hydrogen,OGLE-2018-BLG-1647L,S
OGLE-2018-BLG-1700L,,,Hydrogen,OGLE-2018-BLG-1700L,S
OGLE-2019-BLG-0249L,,,Hydrogen,OGLE-2019-BLG-0249L,S
OGLE-2019-BLG-0299L,,,Hydrogen,OGLE-2019-BLG-0299L,S
OGLE-2019-BLG-0304L,,,Hydrogen,OGLE-2019-BLG-0304L,S
OGLE-2019-BLG-0362L,,,Hydrogen,OGLE-2019-BLG-0362L,S
OGLE-2019-BLG-0468L,,1.4,Hydrogen,OGLE-2019-BLG-0468L,S
OGLE-2019-BLG-0679L,,1.76,Hydrogen,OGLE-2019-BLG-0679L,S
OGLE-2019-BLG-0954L,G6 V,0.9,Hydrogen,OGLE-2019-BLG-0954L,S
OGLE-2019-BLG-0960L,G6 V,0.9,Hydrogen,OGLE-2019-BLG-0960L,S
OGLE-2019-BLG-1053L,,0.97,Hydrogen,OGLE-2019-BLG-1053L,S
OGLE-2019-BLG-1180L,,0.97,Hydrogen,OGLE-2019-BLG-1180L,S
OGLE-2019-BLG-1470L,,1.14,Hydrogen,OGLE-2019-BLG-1470L A,S
OGLE-2019-BLG-1492L,,1.14,Hydrogen,OGLE-2019-BLG-1492L,S
OGLE-2023-BLG-0836L,,0.84,Hydrogen,OGLE-2023-BLG-0836L,S
OGLE-TR-10,,0.67,Hydrogen,OGLE-TR-10,S
OGLE-TR-111,,0.86,Hydrogen,OGLE-TR-111,S
OGLE-TR-113,,1.2,Hydrogen,OGLE-TR-113,S
OGLE-TR-132,,1.26,Hydrogen,OGLE-TR-132,S
OGLE-TR-182,,1.26,Hydrogen,OGLE-TR-182,S
OGLE-TR-211,,1.2,Hydrogen,OGLE-TR-211,S
OGLE-TR-56,,1.2,Hydrogen,OGLE-TR-56,S
OGLE2-TR-L9,,1.2,Hydrogen,OGLE2-TR-L9,S
Oph 11,,1.2,Hydrogen,Oph 11,S
PDS 70,,1.2,Hydrogen,PDS 70,S
PH1,,1.2,Hydrogen,PH1,S
PH2,,0.96,Hydrogen,PH2,S
POTS-1,,0.4,Hydrogen,POTS-1,S
PSR B0329+54,G,0.97,Hydrogen,PSR B0329+54,S
PSR B1257+12,B,0.2,Hydrogen,PSR B1257+12,S
PSR B1620-26,K6 V,0.79,Hydrogen,PSR B1620-26,S
PSR J1719-1438,,1.52,Hydrogen,PSR J1719-1438,S
PSR J2322-2650,,1.52,Hydrogen,PSR J2322-2650,S
PZ Tel,,1.52,Hydrogen,PZ Tel,S
Pr0201,,1.52,Hydrogen,Pr0201,S
Pr0211,,0.82,Hydrogen,Pr0211,S
alf Cen,K1 V,0.91,Hydrogen,Proxima Cen,S
Qatar-1,M2.0V,0.29,Hydrogen,Qatar-1,S
Qatar-10,,1.06,Hydrogen,Qatar-10,S
Qatar-2,,1.06,Hydrogen,Qatar-2,S
Qatar-3,,1.06,Hydrogen,Qatar-3,S
Qatar-4,,1.49,Hydrogen,Qatar-4,S
Qatar-5,,1.49,Hydrogen,Qatar-5,S
Qatar-6,,1.49,Hydrogen,Qatar-6,S
Qatar-7,,1.51,Hydrogen,Qatar-7,S
Qatar-8,,1.51,Hydrogen,Qatar-8,S
Qatar-9,,0.88,Hydrogen,Qatar-9,S
ROXs 12,,0.84,Hydrogen,ROXs 12,S
ROXs 42,,1.57,Hydrogen,ROXs 42 B,S
RR Cae,,1.17,Hydrogen,RR Cae,S
Ross 128,,3.39,Hydrogen,Ross 128,S
Ross 458,,1.06,Hydrogen,Ross 458,S
Ross 508,,0.74,Hydrogen,Ross 508,S
SPECULOOS-3,,0.7,Hydrogen,SPECULOOS-3,S
SR 12,,0.78,Hydrogen,SR 12 AB,S
SWEEPS-11,,0.57,Hydrogen,SWEEPS-11,S
SWEEPS-4,G3 IV,1.56,Hydrogen,SWEEPS-4,S
TAP 26,G3 IV,1.56,Hydrogen,TAP 26,S
TCP J05074264+2447555,,0.82,Hydrogen,TCP J05074264+2447555,S
TIC 139270665,,0.88,Hydrogen,TIC 139270665,S
TIC 172900988,,0.76,Hydrogen,TIC 172900988 Aa,S
TIC 237913194,,0.84,Hydrogen,TIC 237913194,S
TIC 241249530,,1.81,Hydrogen,TIC 241249530,S
TIC 257060897,,1,Hydrogen,TIC 257060897,S
TIC 279401253,,1,Hydrogen,TIC 279401253,S
TIC 365102760,,0.88,Hydrogen,TIC 365102760,S
TIC 393818343,,0.67,Hydrogen,TIC 393818343,S
TIC 46432937,,0.72,Hydrogen,TIC 46432937,S
TIC 4672985,,0.72,Hydrogen,TIC 4672985,S
TOI-1052,,0.72,Hydrogen,TOI-1052,S
TOI-1062,,0.72,Hydrogen,TOI-1062,S
TOI-1064,,0.86,Hydrogen,TOI-1064,S
TOI-1075,,0.89,Hydrogen,TOI-1075,S
TOI-1107,,0.78,Hydrogen,TOI-1107,S
TOI-1130,,1.13,Hydrogen,TOI-1130,S
TOI-1135,,0.82,Hydrogen,TOI-1135,S
TOI-1136,,0.87,Hydrogen,TOI-1136,S
TOI-1173,,0.71,Hydrogen,TOI-1173,S
TOI-1174,,0.92,Hydrogen,TOI-1174,S
TOI-1180,,0.8,Hydrogen,TOI-1180,S
TOI-1181,,0.97,Hydrogen,TOI-1181,S
TOI-1184,,0.89,Hydrogen,TOI-1184,S
TOI-1194,,0.78,Hydrogen,TOI-1194,S
TOI-1199,,0.83,Hydrogen,TOI-1199,S
TOI-1201,,0.82,Hydrogen,TOI-1201,S
TOI-122,,0.74,Hydrogen,TOI-122,S
TOI-1221,,1.35,Hydrogen,TOI-1221,S
TOI-1224,,1.35,Hydrogen,TOI-1224,S
TOI-1227,,0.96,Hydrogen,TOI-1227,S
TOI-1231,,1.08,Hydrogen,TOI-1231,S
TOI-1235,,0.72,Hydrogen,TOI-1235,S
TOI-1244,,0.9,Hydrogen,TOI-1244,S
TOI-1246,,1.11,Hydrogen,TOI-1246,S
TOI-1248,,1.13,Hydrogen,TOI-1248,S
TOI-1249,,0.7,Hydrogen,TOI-1249,S
TOI-125,,0.49,Hydrogen,TOI-125,S
TOI-1259,,1.13,Hydrogen,TOI-1259 A,S
TOI-1260,,1.13,Hydrogen,TOI-1260,S
TOI-1266,,0.85,Hydrogen,TOI-1266,S
TOI-1268,,1.34,Hydrogen,TOI-1268,S
TOI-1269,,0.94,Hydrogen,TOI-1269,S
TOI-1272,,1.2,Hydrogen,TOI-1272,S
TOI-1273,,0.69,Hydrogen,TOI-1273,S
TOI-1278,,0.72,Hydrogen,TOI-1278,S
TOI-1279,,1.04,Hydrogen,TOI-1279,S
TOI-128,,1.04,Hydrogen,TOI-128,S
TOI-1288,,1.04,Hydrogen,TOI-1288,S
TOI-1294,,0.99,Hydrogen,TOI-1294,S
TOI-1295,,0.7,Hydrogen,TOI-1295,S
TOI-1296,,1.14,Hydrogen,TOI-1296,S
TOI-1298,,0.79,Hydrogen,TOI-1298,S
TOI-1301,,0.93,Hydrogen,TOI-1301,S
TOI-132,,0.93,Hydrogen,TOI-132,S
TOI-1333,,0.98,Hydrogen,TOI-1333,S
TOI-1338,,0.93,Hydrogen,TOI-1338 A,S
TOI-1347,,1.01,Hydrogen,TOI-1347,S
TOI-1386,,1.45,Hydrogen,TOI-1386,S
TOI-139,,1.45,Hydrogen,TOI-139,S
TOI-1408,,1.45,Hydrogen,TOI-1408,S
TOI-1410,,0.81,Hydrogen,TOI-1410,S
TOI-1411,,1,Hydrogen,TOI-1411,S
TOI-1416,,1,Hydrogen,TOI-1416,S
TOI-1420,,1.12,Hydrogen,TOI-1420,S
TOI-1422,,0.57,Hydrogen,TOI-1422,S
TOI-1431,,0.54,Hydrogen,TOI-1431,S
TOI-1437,,0.74,Hydrogen,TOI-1437,S
TOI-1439,,1.02,Hydrogen,TOI-1439,S
TOI-1442,,0.92,Hydrogen,TOI-1442,S
TOI-1443,,1.36,Hydrogen,TOI-1443,S
TOI-1444,,2.19,Hydrogen,TOI-1444,S
TOI-1448,,2.19,Hydrogen,TOI-1448,S
TOI-1450,,1.16,Hydrogen,TOI-1450 A,S
TOI-1451,,1.14,Hydrogen,TOI-1451,S
TOI-1452,,0.77,Hydrogen,TOI-1452,S
TOI-1467,,1.28,Hydrogen,TOI-1467,S
TOI-1468,,1.14,Hydrogen,TOI-1468,S
TOI-5218,,1.08,Hydrogen,TOI-5218,S
TOI-5232,,0.66,Hydrogen,TOI-5232,S
TOI-5238,,0.66,Hydrogen,TOI-5238,S
TOI-5293,,0.94,Hydrogen,TOI-5293 A,S
TOI-530,,1.08,Hydrogen,TOI-530,S
TOI-5301,,0.49,Hydrogen,TOI-5301,S
TOI-5319,,1.39,Hydrogen,TOI-5319,S
TOI-532,,1.39,Hydrogen,TOI-532,S
TOI-5344,,0.82,Hydrogen,TOI-5344,S
TOI-5388,,1.01,Hydrogen,TOI-5388,S
TOI-5398,,1.03,Hydrogen,TOI-5398,S
TOI-540,,1.2,Hydrogen,TOI-540,S
TOI-544,,1.2,Hydrogen,TOI-544,S
TOI-5542,,0.92,Hydrogen,TOI-5542,S
TOI-558,,0.63,Hydrogen,TOI-558,S
TOI-559,,0.79,Hydrogen,TOI-559,S
TOI-561,,0.99,Hydrogen,TOI-561,S
TOI-5616,,1.06,Hydrogen,TOI-5616,S
TOI-5634,,1.06,Hydrogen,TOI-5634 A,S
TOI-564,,1.06,Hydrogen,TOI-564,S
TOI-5678,,1.06,Hydrogen,TOI-5678,S
TOI-5688,,1.15,Hydrogen,TOI-5688 A,S
TOI-5704,,1.15,Hydrogen,TOI-5704,S
TOI-5713,,1.34,Hydrogen,TOI-5713,S
TOI-5720,,0.91,Hydrogen,TOI-5720,S
TOI-5726,,0.94,Hydrogen,TOI-5726,S
TOI-5786,,1.15,Hydrogen,TOI-5786,S
TOI-5799,,1.41,Hydrogen,TOI-5799,S
TOI-5803,,0.68,Hydrogen,TOI-5803,S
TOI-6002,,1.17,Hydrogen,TOI-6002,S
TOI-6008,,0.82,Hydrogen,TOI-6008,S
TOI-6016,,0.84,Hydrogen,TOI-6016,S
TOI-6029,,1.06,Hydrogen,TOI-6029,S
TOI-6034,,1.16,Hydrogen,TOI-6034,S
TOI-6038,,1.15,Hydrogen,TOI-6038 A,S
TOI-6054,,0.7,Hydrogen,TOI-6054,S
TOI-6086,,1.54,Hydrogen,TOI-6086,S
TOI-6130,,1.17,Hydrogen,TOI-6130,S
TOI-615,,0.83,Hydrogen,TOI-615,S
TOI-620,,1.73,Hydrogen,TOI-620,S
TOI-622,,0.93,Hydrogen,TOI-622,S
TOI-6255,,0.93,Hydrogen,TOI-6255,S
TOI-628,,0.97,Hydrogen,TOI-628,S
TOI-6383,,1.17,Hydrogen,TOI-6383 A,S
TOI-640,,0.84,Hydrogen,TOI-640,S
TOI-654,,0.84,Hydrogen,TOI-654,S
TOI-663,,0.74,Hydrogen,TOI-663,S
TOI-6651,,0.9,Hydrogen,TOI-6651,S
TOI-669,,0.34,Hydrogen,TOI-669,S
TOI-672,,0.94,Hydrogen,TOI-672,S
TOI-674,,0.93,Hydrogen,TOI-674,S
TOI-677,,0.92,Hydrogen,TOI-677,S
TOI-700,,0.95,Hydrogen,TOI-700,S
TOI-712,,0.69,Hydrogen,TOI-712,S
TOI-715,,0.84,Hydrogen,TOI-715,S
TOI-733,,0.84,Hydrogen,TOI-733,S
TOI-757,,1.04,Hydrogen,TOI-757,S
TOI-762,,0.83,Hydrogen,TOI-762 A,S
TOI-763,,0.9,Hydrogen,TOI-763,S
TOI-771,,0.94,Hydrogen,TOI-771,S
TOI-776,,0.68,Hydrogen,TOI-776,S
TOI-778,,0.92,Hydrogen,TOI-778,S
TOI-782,,0.91,Hydrogen,TOI-782,S
HD 307842,M0 V,0.67,Hydrogen,HD 307842,S
TOI-813,M0 V,0.54,Hydrogen,TOI-813,S
TOI-815,M0 V,0.54,Hydrogen,TOI-815,S
TOI-824,,1.07,Hydrogen,TOI-824,S
TOI-833,,0.96,Hydrogen,TOI-833,S
