Star Name,Spectral Type,Stellar Radius [Solar Radius],Element Composition,Host Name,ObjectType
HATS-70,,1.88,Hydrogen,HATS-70,S
HATS-71,M3 V,0.48,Hydrogen,HATS-71,S
HATS-72,,0.72,Hydrogen,HATS-72,S
HATS-74,,0.58,Hydrogen,HATS-74 A,S
HATS-75,,0.58,Hydrogen,HATS-75,S
HATS-76,,0.63,Hydrogen,HATS-76,S
HATS-77,,0.64,Hydrogen,HATS-77,S
HATS-8,,1.09,Hydrogen,HATS-8,S
HATS-9,,1.56,Hydrogen,HATS-9,S
HD 100546,B9 Vne,1.85,Hydrogen,HD 100546,S
HD 100655,G9 III,10.06,Hydrogen,HD 100655,S
HD 100777,G8 V,1.04,Hydrogen,HD 100777,S
HIP 56998,K4/5V,0.63,Hydrogen,HIP 56998,S
HD 10180,G1 V,1.11,Hydrogen,HD 10180,S
HD 101930,K1 V,0.86,Hydrogen,HD 101930,S
HD 102117,G6 V,1.23,Hydrogen,HD 102117,S
HD 102195,K0 V,0.82,Hydrogen,HD 102195,S
HD 102272,K0,10.3,Hydrogen,HD 102272,S
HD 102329,K0 III,9.82,Hydrogen,HD 102329,S
HD 102365,G3/5V,0.95,Hydrogen,HD 102365,S
HD 102843,K0 V,0.96,Hydrogen,HD 102843,S
HD 102956,G5,4.55,Hydrogen,HD 102956,S
HD 103197,K1 V(P),0.88,Hydrogen,HD 103197,S
HD 103720,K3 V,0.73,Hydrogen,HD 103720,S
HD 103774,F5 V,1.58,Hydrogen,HD 103774,S
HD 103891,F9,2.22,Hydrogen,HD 103891,S
HD 103949,K3 V,0.75,Hydrogen,HD 103949,S
HD 104067,K2 V,0.78,Hydrogen,HD 104067,S
HD 10442,K0 IV,1.97,Hydrogen,HD 10442,S
HD 104985,G9 III,11.12,Hydrogen,HD 104985,S
HD 105618,,1.27,Hydrogen,HD 105618,S
HD 105779,G2,0.94,Hydrogen,HD 105779,S
HD 106252,G0,1.1,Hydrogen,HD 106252,S
HD 106270,G5 IV,2.66,Hydrogen,HD 106270,S
HD 106315,F5 V,1.29,Hydrogen,HD 106315,S
HD 10647,F9 V,1.1,Hydrogen,HD 10647,S
HD 106515,G5 V,0.91,Hydrogen,HD 106515 A,S
HD 106906,F5 V,2.12,Hydrogen,HD 106906,S
HD 10697,G3 V,1.86,Hydrogen,HD 10697,S
HD 107148,G5 V,1.17,Hydrogen,HD 107148,S
HD 108147,F8 V CH+0.4,1.21,Hydrogen,HD 108147,S
HD 108202,K4/5 V,0.66,Hydrogen,HD 108202,S
HD 108236,G3 V,0.88,Hydrogen,HD 108236,S
HD 108341,K2 V,0.79,Hydrogen,HD 108341,S
HD 108863,K0,5.74,Hydrogen,HD 108863,S
HD 108874,G5,1.05,Hydrogen,HD 108874,S
HD 109246,G0 V,1.07,Hydrogen,HD 109246,S
HD 109271,G5 V,1.29,Hydrogen,HD 109271,S
HD 109286,G4 V,1.09,Hydrogen,HD 109286,S
HD 109749,G3 V,1.22,Hydrogen,HD 109749,S
HD 10975,K0 III,11.16,Hydrogen,HD 10975,S
HD 109833,,1,Hydrogen,HD 109833,S
HD 109988,,0.87,Hydrogen,HD 109988,S
HD 89744,K2 III,20.9,Hydrogen,HD 89744,S
HD 89839,K0.0 V,0.79,Hydrogen,HD 89839,S
HD 90156,K0.0 V,0.79,Hydrogen,HD 90156,S
HD 9174,K0.0 V,0.79,Hydrogen,HD 9174,S
HD 92788,K0.0 V,0.79,Hydrogen,HD 92788,S
HD 93083,K0.0 V,0.79,Hydrogen,HD 93083,S
HD 93351,F8 V,1.19,Hydrogen,HD 93351,S
HD 93385,G,0.97,Hydrogen,HD 93385,S
HD 93963,G8 V,0.9,Hydrogen,HD 93963 A,S
HD 9446,K0 III,8.03,Hydrogen,HD 9446,S
HD 94771,M1 III,65.8,Hydrogen,HD 94771,S
HD 94834,K0 III,9.85,Hydrogen,HD 94834,S
HD 95086,K0 III,39,Hydrogen,HD 95086,S
HD 95089,F6 V,1.53,Hydrogen,HD 95089,S
HD 95127,K2 III/ IV,6.78,Hydrogen,HD 95127,S
HD 95338,K9 V,0.53,Hydrogen,HD 95338,S
HD 95544,K9 V,0.53,Hydrogen,HD 95544,S
HD 95872,F3 V,1.49,Hydrogen,HD 95872,S
